,upc,sku
703,8.89894E+11,284438514
704,96633106141,208344488
706,8.86228E+11,277228144
707,8.879E+11,265486559
710,8.89894E+11,292333749
711,8.88183E+11,292332931
713,8.84116E+11,265455968
714,8.84116E+11,292333128
715,8.879E+11,271838124
720,8.86228E+11,292336802
722,8.1493E+11,293979361
724,8.86228E+11,249961919
727,8.89234E+11,284020384
730,8.84116E+11,287928029
732,8.84116E+11,276062993
736,8.88863E+11,286999799
737,8.879E+11,292340743
742,22265896488,292333870
747,8.88966E+11,276807572
753,8.86227E+11,256247184
754,22265923665,281083812
757,8.89894E+11,285588379
762,8.89349E+11,289332536
765,8.88632E+11,265669604
768,8.89894E+11,287012889
769,8.879E+11,276736118
771,8.89895E+11,288371682
772,8.88794E+11,279116006
776,8.89801E+11,285097080
777,8.88794E+11,292343447
779,8.84116E+11,285608863
781,8.89561E+11,282264679
783,8.89955E+11,287619169
787,8.88793E+11,285920153
788,22265877722,276241596
789,8.88863E+11,285729090
790,8.89661E+11,287026885
791,8.86228E+11,277228157
792,7.35858E+11,276491475
795,8.84116E+11,292335801
796,8.88863E+11,282264516
798,8.87899E+11,260974724
800,8.84116E+11,291740473
801,8.87899E+11,260974755
804,8.86228E+11,285917702
807,8.89234E+11,277654030
809,2.22659E+11,270481138
810,8.84116E+11,284199978
813,8.89661E+11,292342176
816,8.88864E+11,294033462
817,8.88863E+11,287003530
818,8.86228E+11,271382058
820,8.88863E+11,288389781
821,8.88863E+11,288389819
824,8.89894E+11,292333390
826,8.84116E+11,287496024
836,8.89296E+11,276891725
841,22265929148,287725842
842,7.31236E+11,288634240
843,8.86228E+11,262321962
846,8.89661E+11,292342544
847,8.89895E+11,287770945
852,8.84116E+11,287865646
853,8.84116E+11,287496322
854,22265818305,268291349
860,8.87899E+11,260974722
861,8.879E+11,269250084
862,8.89296E+11,292333932
863,1.90151E+11,292347101
865,8.8096E+11,287893137
870,8.89233E+11,276804768
871,8.89297E+11,280523486
873,8.88863E+11,289412950
874,7.25184E+11,284902777
879,8.89234E+11,277654029
883,8.88863E+11,282264154
886,8.89349E+11,297369522
888,8.84116E+11,292334995
891,1.90404E+11,295897288
892,8.89894E+11,291984079
894,22265929131,284856416
896,22265818718,292332940
897,8.82956E+11,292342214
898,8.88794E+11,271348994
899,8.84116E+11,292340643
901,8.89234E+11,287009216
905,8.89894E+11,288778972
906,8.88863E+11,286948303
907,8.82659E+11,270277550
908,8.89894E+11,291984104
910,22265823040,285928240
911,8.89296E+11,278041857
914,96633105755,208344398
915,22265890011,277730488
916,8.89894E+11,285883421
918,7.25184E+11,285617836
919,8.88793E+11,268220132
920,8.89895E+11,288372472
921,8.84116E+11,287496374
922,8.88794E+11,292333263
924,8.89894E+11,285588502
925,8.88632E+11,267077910
926,8.84116E+11,281094480
928,8.84116E+11,292338697
932,8.88864E+11,297436828
933,8.86228E+11,292341325
935,8.84116E+11,292074404
937,7.8692E+11,292342838
938,8.84116E+11,267055057
941,8.45226E+11,292337567
952,8.87759E+11,262425114
956,8.89562E+11,292334200
958,8.84116E+11,292620309
959,8.84116E+11,281391001
960,7.25184E+11,292644261
963,8.89661E+11,292347094
964,8.84116E+11,292333795
965,8.879E+11,271342182
971,8.86228E+11,269214892
973,22265507254,258450876
975,1.90151E+11,291740294
977,8.89296E+11,276891737
978,8.87111E+11,245873211
980,8.84116E+11,292336274
981,8.89801E+11,287373483
984,8.86228E+11,264984484
986,22265805008,292337007
988,8.88739E+11,292340153
992,8.86228E+11,263549774
993,12300499927,260974722
994,7.95962E+11,292342961
995,8.89895E+11,288372633
1000,8.84116E+11,291740613
1001,1.90404E+11,294599895
1002,8.88864E+11,292347106
1004,8.89661E+11,292334869
1005,8.88182E+11,257581527
1007,8.88794E+11,270406416
1008,8.88863E+11,283651376
1009,8.89894E+11,285532945
1011,8.89894E+11,286096182
1017,8.88864E+11,292051314
1018,8.88965E+11,270021771
1020,8.879E+11,270431056
1021,8.86228E+11,270638877
1026,1.90404E+11,294679344
1028,8.88863E+11,284926929
1029,8.87899E+11,259714464
1031,12300324823,260974724
1034,8.88864E+11,294689962
1035,8.88864E+11,294689925
1036,8.89349E+11,291142717
1038,8.89349E+11,287027736
1039,22265911815,277919575
1040,22265997727,286375156
1041,8.88631E+11,265454172
1044,8.88863E+11,287456198
1046,8.89956E+11,292074536
1047,8.89894E+11,285045147
1049,8.88793E+11,268220118
1052,8.86541E+11,235782713
1054,8.879E+11,277729704
1055,8.84116E+11,274971759
1060,8.89296E+11,284085889
1062,8.84116E+11,281094475
1064,8.89661E+11,287609605
1066,8.86542E+11,252449180
1069,8.88794E+11,278227712
1070,8.88863E+11,288389832
1071,8.898E+11,284974852
1074,8.88863E+11,294474706
1075,8.89297E+11,282411977
1076,8.89895E+11,289377734
1080,8.879E+11,275139563
1081,8.89894E+11,285905178
1082,8.89894E+11,285905264
1084,8.88793E+11,292506640
1086,8.89894E+11,286140542
1091,8.84116E+11,294949606
1092,8.89894E+11,285905242
