,upc,sku,
166,8.879E+11,285914193,1
167,8.89296E+11,0,0
168,7.94505E+11,0,0
169,8.87111E+11,0,0
170,8.88863E+11,0,0
171,8.09186E+11,0,0
172,8.88794E+11,0,0
173,8.879E+11,0,0
174,1.90152E+11,0,0
175,8.89661E+11,0,0
176,8.88864E+11,290556520,1
177,8.879E+11,272446257,1
178,8.88793E+11,0,0
179,8.12177E+11,0,0
180,7.87468E+11,292335129,1
181,8.84116E+11,278005331,1
182,8.89956E+11,287725640,1
183,7.08887E+11,0,0
184,8.88182E+11,0,0
185,8.88864E+11,293753950,1
186,8.84116E+11,0,0
187,8.84116E+11,282264035,1
188,8.84116E+11,287496130,1
189,7.1711E+11,0,0
190,92281801216,209084669,1
191,8.89895E+11,288647532,1
192,8.25633E+11,0,0
193,22265863282,270481155,1
194,8.89894E+11,0,0
195,8.84116E+11,292334591,1
196,8.88182E+11,0,0
197,8.25633E+11,0,0
198,6.16983E+11,0,0
199,8.86228E+11,271838118,1
200,8.89894E+11,0,0
201,8.89894E+11,0,0
202,8.84116E+11,283405383,1
203,8.86228E+11,277228162,1
204,8.879E+11,0,0
205,6.59338E+11,0,0
206,8.879E+11,276113813,1
207,8.89349E+11,292333645,1
208,8.89955E+11,0,0
209,1.90152E+11,293391425,1
210,1.90152E+11,293391424,1
211,8.88794E+11,283162806,1
212,8.89661E+11,284120127,1
213,8.88863E+11,293832257,1
214,8.88794E+11,270955495,1
215,7.02706E+11,0,0
216,8.1973E+11,0,0
217,8.89894E+11,285643467,1
218,8.879E+11,0,0
219,8.88864E+11,0,0
220,8.88773E+11,265353334,1
221,7.88679E+11,0,0
222,8.88793E+11,0,0
223,8.86228E+11,270607134,1
224,8.89296E+11,0,0
225,8.89894E+11,0,0
226,8.86228E+11,292336478,1
227,8.89296E+11,0,0
228,8.898E+11,0,0
229,8.88794E+11,0,0
230,8.86228E+11,265035733,1
231,8.88772E+11,0,0
232,8.88794E+11,289337092,1
233,22265517529,0,0
234,8.89234E+11,283671533,1
235,8.89561E+11,277569950,1
236,8.86228E+11,282972402,1
237,8.88863E+11,296821883,1
238,8.89894E+11,284133198,1
239,8.86228E+11,291849787,1
240,8.84116E+11,0,0
241,8.1973E+11,0,0
242,22265507247,0,0
243,8.89297E+11,0,0
244,8.88864E+11,294143986,1
245,8.89297E+11,0,0
246,8.86228E+11,0,0
247,8.88863E+11,291142153,1
248,8.89895E+11,0,0
249,8.89894E+11,293745026,1
250,8.25633E+11,0,0
251,8.89234E+11,292336314,1
252,8.0194E+11,0,0
253,8.01947E+11,0,0
254,8.86228E+11,276487222,1
255,8.03983E+11,0,0
256,8.879E+11,0,0
257,8.84116E+11,0,0
258,8.88863E+11,292340740,1
259,8.879E+11,0,0
260,8.89899E+11,0,0
