,upc
2037,22265825648
2038,888182220801
2039,888793840658
2040,766653300729
2041,766653301870
2042,884116148869
2043,888793914649
2044,889955341358
2045,889233302866
2046,889349177693
2047,888793113844
2048,889955895097
2049,888793674574
2050,889661059417
2051,887899682117
2052,886227659272
2053,886389084486
2054,887899705151
2055,886227788460
2056,22265866252
2057,886227577484
2058,884116135364
2059,22265814277
2060,22265507230
2061,190151364493
2062,889661118350
2063,888228812144
2064,889349354452
2065,643380783592
2066,887942541613
2067,887899662096
2068,889955735393
2069,887263613785
2070,884116154860
2071,889349248355
2072,824142126653
2073,889296257844
2074,889955674180
2075,889349204160
2076,888228537535
2077,888228889900
2078,889233977460
2079,889296337256
2080,889296253099
2081,22265352823
2082,888182224793
2083,889349268681
2084,889894230195
2085,889955338099
2086,884116133735
2087,886227870363
2088,824142115060
2089,885631450635
2090,22265528594
2091,190151120792
2092,889233302477
2093,889894594204
2094,886227738595
2095,889296981398
2096,884116204664
2097,889955674807
2098,888793431429
2099,813567021124
2100,884116203537
2101,744881698474
2102,884116228783
2103,22265689479
2104,889349134740
2105,804904093324
2106,887899981586
2107,889349071083
2108,889894355638
2109,889894355645
2110,888863556038
2111,889894506696
2112,634746193094
2113,888182247174
2114,886389110901
2115,889894514943
2116,889296974086
2117,889296137368
2118,884116167860
2119,884116173014
2120,766653301931
2121,888965840936
2122,889296137252
2123,888182165935
2124,190404342742
2125,884116139362
2126,884116117315
2127,889800810770
2128,889894492258
2129,889296620891
2130,889899000205
2131,888863509317
2132,841287100355
2133,888793058893
2134,889349052051
2135,95205867961
2136,886227797653
2137,888793355664
2138,889296138983
2139,634753044952
2140,889296220725
2141,888863529117
2142,888793633649
2143,744947916887
2144,884116166023
2145,889894540225
2146,888793835449
2147,889233098288
2148,887899719851
2149,889800978531
2150,889296026648
2151,884116145462
2152,886227996971
2153,889894535023
2154,889955477675
2155,884116203131
2156,888863478705
2157,888863632015
2158,889955675385
2159,888793592953
2160,889349248379
2161,22265874004
2162,886227771158
2163,889800348013
