,upc,sku,Manufacturer,productGuide,mfgPart,Sku,Upc,Upc14,BatteryChemistry,numberOfCells,maximumBatteryRunTime,fingerPrintReader,frontCamera,Hdmi,networkRJ45,totalNumberOfUsbPorts,numberOfUsb3.0Ports,aspectRatio,screenResolution,screenSize,graphicsControllerManufacturer,graphicsControllerModel,graphicsMemoryTechnology,graphicsMemoryAccessibility,displayScreenTechnology,productType,manufacturerPartNumber,manufacturer,productModel,productName,productSeries,brandName,standardMemory,memoryTechnology,packageContents,greenCompliant,greenComplianceCertificate,bluetooth,wirelessLAN,wirelessLANStandard,weightApproximate,color,height,width,depth,opticalDriveType,solidStateDriveCapacity,processorSpeed,processorType,processorModel,processorCore,processorManufacturer,operatingSystem,operatingSystemArchitecture,operatingSystemPlatform,limitedWarranty,headphone.microphoneComboPort,microHdmi,touchScreen,flashMemoryCapacity
548,9.44414E+11,270095410,Acer,,NX.V9VAA.002,270095410,887899740305,00887899740305,,6-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"14""",Intel,,DDR3 SDRAM,Shared,ComfyView,Notebook,NX.V9VAA.002,"Acer, Inc",TMP246-M-33PH,TravelMate TMP246-M-33PH Notebook,P246-M,Acer,4 GB,DDR3L SDRAM,TravelMate TMP246-M-33PH NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n,5.07 lb,Black,"1.2""","13.6""","9.8""",DVD-Writer,,1.80 GHz,Core i3,i3-4030U,,Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,,,,,
553,8.40135E+11,272813888,Nabi,,77D01910,272813888,840135100998,00840135100998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,8.84116E+11,291909703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,8.89801E+11,292338315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,8.88863E+11,283352783,ACER- CHROME PRODUCTS,,UM.WD1AA.B01,283352783,888863074914,00888863074914,,,,,,Yes,,6,4,,1920 x 1080,"21.5""",NVIDIA,Kepler GPU,DDR3 SDRAM,Shared,,All-in-One Computer,UM.WD1AA.B01,"Acer, Inc",,DC221HQ All-in-One Computer,,Acer,4 GB,DDR3 SDRAM, DC221HQ All-in-One Computer AC Adapter HDMI Cable USB Keyboard USB Mouse Power Cord ,,,Yes,Yes,,8.60 lb,White,"14.1""","20.9""","3""",,,2.10 GHz,Tegra K1,,,NVIDIA,Chrome OS,,Chrome OS,1 Year,,,,
564,8.88794E+11,283131010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,8.88772E+11,270690550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,7.38677E+11,292334337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,8.88182E+11,257571505,Hewlett Packard,,F2R43UT#ABA,257571505,888182245477,00888182245477,,6-cell,9.65 Hour,Yes,,,Yes,4,4,16:9,1366 x 768,"14""",AMD,Radeon HD 8350G,DDR3L SDRAM,Shared,,Notebook,F2R43UT#ABA,HP Inc.,,ProBook 645 G1 Notebook PC (ENERGY STAR),645 G1,HP,4 GB,DDR3L SDRAM,ProBook 645 G1 Notebook PC (ENERGY STAR)Lithium Ion BatteryAC AdapterPower CordWindows 8 Pro License Media,Yes,ENERGY STAR /  IT Eco Declaration /  RoHS /  WEEE /  EU WEEE,Yes,Yes,IEEE 802.11a/b/g/n,4.40 lb,Black,"1.1""","13.4""","9.3""",DVD-Writer,,2.70 GHz,A-Series,A4-5150M,Dual-core (2 Core),AMD,Windows 7 Professional Upgradable to Windows 8 Pro (English),64-bit,Windows,1 Year,Yes,,No,
571,8.84116E+11,292338496,Dell Computers,,ecb55c7dc0e0f05,292338496,884116164562,00884116164562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,8.88863E+11,284930957,ACER- CHROME PRODUCTS,,NX.G14AA.003,284930957,888863315048,00888863315048,,4-cell,,No,,Yes,,2,2,16:9,1366 x 768,"13.3""",NVIDIA,,DDR3L SDRAM,Shared,ComfyView,Chromebook,NX.G14AA.003,"Acer, Inc",C810-T78Y,C810-T78Y Notebook,C810,Acer,4 GB,DDR3L SDRAM,C810-T78Y NotebookLithium Ion BatteryAC Adapter,Yes,EPEAT Silver,Yes,Yes,IEEE 802.11ac,3.31 lb,,"0.7""","12.9""","9""",No,,2.10 GHz,Tegra K1,CD570M-A1,Quad-core (4 Core),NVIDIA,Chrome OS,,Chrome OS,,,,,
573,8.879E+11,270095399,Acer,,NX.V9VAA.003,270095399,887899740312,00887899740312,,6-cell,,No,Yes,Yes,Yes,3,1,16:9,1366 x 768,"14""",Intel,,DDR3 SDRAM,Shared,ComfyView,Notebook,NX.V9VAA.003,"Acer, Inc",TMP246-M-52X2,TravelMate TMP246-M-52X2 Notebook,P246-M,Acer,4 GB,DDR3L SDRAM,TravelMate TMP246-M-52X2 NotebookLithium Ion BatteryAC Adapter,,,Yes,Yes,IEEE 802.11a/b/g/n,5.07 lb,Black,"1.2""","13.6""","9.8""",DVD-Writer,,1.70 GHz,Core i5,i5-4210U,,Intel,Windows 7 Professional Upgradable to Windows 8.1 Pro,64-bit,Windows,,,,,
574,8.88794E+11,277388601,Hewlett Packard,,J2X64UA,277388601,888793549872,00888793549872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,8.89296E+11,288382831,Hewlett Packard,,CX-15-F125WM-PB-RCB,288382831,889296220961,00889296220961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,8.879E+11,285928044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,8.879E+11,276347713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
